doc_id,sentence,token,lemma,pos,tag,Number,Person,Poss,PronType,Mood,Tense,VerbForm,Degree,PunctType,Case,Definite,Gender,NumType,Polarity,Aspect,ConjType,PunctSide
0002.xml,0,My,my,PRON,PRP$,Sing,1,Yes,Prs,,,,,,,,,,,,,
0002.xml,0,family,family,NOUN,NN,Sing,,,,,,,,,,,,,,,,
0002.xml,0,is,be,AUX,VBZ,Sing,3,,,Ind,Pres,Fin,,,,,,,,,,
0002.xml,0,very,very,ADV,RB,,,,,,,,,,,,,,,,,
0002.xml,0,small,small,ADJ,JJ,,,,,,,,Pos,,,,,,,,,
0002.xml,0,.,.,PUNCT,.,,,,,,,,,Peri,,,,,,,,
0002.xml,1,I,I,PRON,PRP,Sing,1,,Prs,,,,,,Nom,,,,,,,
0002.xml,1,have,have,VERB,VBP,,,,,Ind,Pres,Fin,,,,,,,,,,
0002.xml,1,a,a,DET,DT,,,,Art,,,,,,,Ind,,,,,,
0002.xml,1,big,big,ADJ,JJ,,,,,,,,Pos,,,,,,,,,
0002.xml,1,borther,borther,NOUN,NN,Sing,,,,,,,,,,,,,,,,
0002.xml,1,.,.,PUNCT,.,,,,,,,,,Peri,,,,,,,,
0002.xml,2,He,he,PRON,PRP,Sing,3,,Prs,,,,,,Nom,,Masc,,,,,
0002.xml,2,is,be,AUX,VBZ,Sing,3,,,Ind,Pres,Fin,,,,,,,,,,
0002.xml,2,twenty,twenty,NUM,CD,,,,,,,,,,,,,Card,,,,
0002.xml,2,three,three,NUM,CD,,,,,,,,,,,,,Card,,,,
0002.xml,2,years,year,NOUN,NNS,Plur,,,,,,,,,,,,,,,,
0002.xml,2,old,old,ADJ,JJ,,,,,,,,Pos,,,,,,,,,
0002.xml,2,.,.,PUNCT,.,,,,,,,,,Peri,,,,,,,,
0002.xml,3,He,he,PRON,PRP,Sing,3,,Prs,,,,,,Nom,,Masc,,,,,
0002.xml,3,is,be,AUX,VBZ,Sing,3,,,Ind,Pres,Fin,,,,,,,,,,
0002.xml,3,a,a,DET,DT,,,,Art,,,,,,,Ind,,,,,,
0002.xml,3,student,student,NOUN,NN,Sing,,,,,,,,,,,,,,,,
0002.xml,3,.,.,PUNCT,.,,,,,,,,,Peri,,,,,,,,
0423.xml,0,I,I,PRON,PRP,Sing,1,,Prs,,,,,,Nom,,,,,,,
0423.xml,0,have,have,VERB,VBP,,,,,Ind,Pres,Fin,,,,,,,,,,
0423.xml,0,n't,not,PART,RB,,,,,,,,,,,,,,Neg,,,
0423.xml,0,many,many,ADJ,JJ,,,,,,,,Pos,,,,,,,,,
0423.xml,0,hobbies,hobby,NOUN,NNS,Plur,,,,,,,,,,,,,,,,
0423.xml,0,.,.,PUNCT,.,,,,,,,,,Peri,,,,,,,,
0423.xml,1,I,I,PRON,PRP,Sing,1,,Prs,,,,,,Nom,,,,,,,
0423.xml,1,'m,be,AUX,VBP,Sing,1,,,Ind,Pres,Fin,,,,,,,,,,
0423.xml,1,working,work,VERB,VBG,,,,,,Pres,Part,,,,,,,,Prog,,
0423.xml,1,like,like,ADP,IN,,,,,,,,,,,,,,,,,
0423.xml,1,teacher,teacher,NOUN,NN,Sing,,,,,,,,,,,,,,,,
0423.xml,1,in,in,ADP,IN,,,,,,,,,,,,,,,,,
0423.xml,1,a,a,DET,DT,,,,Art,,,,,,,Ind,,,,,,
0423.xml,1,primary,primary,ADJ,JJ,,,,,,,,Pos,,,,,,,,,
0423.xml,1,school,school,NOUN,NN,Sing,,,,,,,,,,,,,,,,
0423.xml,1,and,and,CCONJ,CC,,,,,,,,,,,,,,,,Cmp,
0423.xml,1,prepare,prepare,VERB,VB,,,,,,,Inf,,,,,,,,,,
0423.xml,1,some,some,DET,DT,,,,,,,,,,,,,,,,,
0423.xml,1,activities,activity,NOUN,NNS,Plur,,,,,,,,,,,,,,,,
0423.xml,1,for,for,ADP,IN,,,,,,,,,,,,,,,,,
0423.xml,1,my,my,PRON,PRP$,Sing,1,Yes,Prs,,,,,,,,,,,,,
0423.xml,1,students,student,NOUN,NNS,Plur,,,,,,,,,,,,,,,,
0423.xml,1,is,be,AUX,VBZ,Sing,3,,,Ind,Pres,Fin,,,,,,,,,,
0423.xml,1,my,my,PRON,PRP$,Sing,1,Yes,Prs,,,,,,,,,,,,,
0423.xml,1,favorite,favorite,ADJ,JJ,,,,,,,,Pos,,,,,,,,,
0423.xml,1,hobby,hobby,NOUN,NN,Sing,,,,,,,,,,,,,,,,
0423.xml,1,.,.,PUNCT,.,,,,,,,,,Peri,,,,,,,,
0423.xml,2,Also,also,ADV,RB,,,,,,,,,,,,,,,,,
0423.xml,2,",",",",PUNCT,",",,,,,,,,,Comm,,,,,,,,
0423.xml,2,i,I,PRON,PRP,Sing,1,,Prs,,,,,,Nom,,,,,,,
0423.xml,2,like,like,VERB,VBP,,,,,,Pres,Fin,,,,,,,,,,
0423.xml,2,to,to,PART,TO,,,,,,,,,,,,,,,,,
0423.xml,2,go,go,VERB,VB,,,,,,,Inf,,,,,,,,,,
0423.xml,2,shopping,shop,VERB,VBG,,,,,,Pres,Part,,,,,,,,Prog,,
0423.xml,2,with,with,ADP,IN,,,,,,,,,,,,,,,,,
0423.xml,2,my,my,PRON,PRP$,Sing,1,Yes,Prs,,,,,,,,,,,,,
0423.xml,2,daughter,daughter,NOUN,NN,Sing,,,,,,,,,,,,,,,,
0423.xml,2,and,and,CCONJ,CC,,,,,,,,,,,,,,,,Cmp,
