doc_id,title,text
0103.b2,Police vs. Cyclists,The night is now closing in on us with the coming of the winter season
0103.b2,Police vs. Cyclists," It is important to equip oneself and ones clothes, cars, bicycles etc"
0103.b2,Police vs. Cyclists, with necessary outfit for this period of darkness
0103.b2,Police vs. Cyclists," We put reflexes on our coats, winter tires on the cars and we use the headlight when we drive"
0103.b2,Police vs. Cyclists, It should be as obviously to use lights on the bicycle as it is to use it on cars
0103.b2,Police vs. Cyclists, A cyclist without light is a danger for everyone around him
0103.b2,Police vs. Cyclists," In a letter to the press ""En som lyser med ögonen i höstmörkret"" attacks the police for hunting students with no lights on their bicycles for the pure fun of it"
0103.b2,Police vs. Cyclists, Why should they not take actions against these people who are a danger in the traffic? Now I do not believe that the police are out to get the students because they think it is fun to give fines to young people with no money
0103.b2,Police vs. Cyclists, The undersigned needs to understand how dangerous it can be to ride a bicycle in the dark with no lights
0103.b2,Police vs. Cyclists, Other cyclists and pedestrians have trouble seeing them and that can cause accidents between them
0103.b2,Police vs. Cyclists, Also drivers have great difficulties noticing a cyclist without reflexes and lights
0103.b2,Police vs. Cyclists, From the letter to the press I guess the undersigned has not self driven a car when it has been dark and met a cyclist without lights
0103.b2,Police vs. Cyclists," I can assure him that it is a frightful moment, when one suddenly sees a person on a bike a few meters ahead of you and you have to step on the brakes not to hit the person"
0103.b2,Police vs. Cyclists, Students and other cyclists are informed about the rules and fees that come with breaking these regulations
0103.b2,Police vs. Cyclists," When these are not followed, I think it is just fair to give the offender a fine"
0103.b2,Police vs. Cyclists, A law is law and it should be followed
0103.b2,Police vs. Cyclists," One possible solution to the problem with accidents between cars and bicycles is, according to the undersigned, to reduce the speed limits in the cities to 30km/h instead of the present 50km/h"
0103.b2,Police vs. Cyclists, This also shows my beliefs in that the undersigned has not a driver's license
0103.b2,Police vs. Cyclists, It takes a very long time to get anywhere by car if you can only drive in 30km/h
0103.b2,Police vs. Cyclists, Moreover it is not good for the environment
0103.b2,Police vs. Cyclists," The car uses about 15 per cent more gas in 30km/h than 50km/h, this means 15 per cent more of carbon dioxide that comes out in the nature"
0103.b2,Police vs. Cyclists, The cost for the driver's in Sweden would increase with 1
0103.b2,Police vs. Cyclists,8 billion crowns (www
0103.b2,Police vs. Cyclists,riksdagen
0103.b2,Police vs. Cyclists,se/debatt)
0103.b2,Police vs. Cyclists," We already have reduced speed limits in special danger zones, as outside schools and day-care centers, that is good, but to have it all over the city is just not possible"
0103.b2,Police vs. Cyclists, Another issue that the person who wrote the article is upset about is the fact that the police and local authorities are moving away illegally parked bicycles
0103.b2,Police vs. Cyclists, There are several parking spaces for bicycles around the city
0103.b2,Police vs. Cyclists," If the undersigned can not find one just outside the café or shop he intends to visit, he can just walk down to the creek, where there is plenty of space"
0103.b2,Police vs. Cyclists," This might mean that the person in question have to walk a little bit extra, but so what? How lazy can you get? It is not for nothing that there are assigned parking lots for the bicycles"
0103.b2,Police vs. Cyclists, Think about the pedestrians who have to criss cross around the bicycles to get in to the malls
0103.b2,Police vs. Cyclists, The handicapped with wheelchairs have a hard time coming through
0103.b2,Police vs. Cyclists, Not to mention the rescues services who in case of emergency need to have clear way to the scene of the accident
0103.b2,Police vs. Cyclists, This would be no problem if everybody parked their bicycles where they are supposed to
0103.b2,Police vs. Cyclists," If you, ""En som lyser med ögonen i höstmörkret"" have so much trouble in walking an extra bit, think about these people who needs to have easy access to different areas of the city because they can not walk, or they are out to save someone's life"
0103.b2,Police vs. Cyclists," Is it not worth a few extra steps to park the bicycle where the parking spaces are? To conclude I must once again point out that the [alert, straight-backed constables], as the undersigned so neatly calls them, are not giving fines to people without lights on their bicycles because for the fun of it"
